patient_id,national_id,sex,date_of_birth,county,sub_county,insurance_type
P10000,18456906,M,1970-01-10,Kericho,Soin Sigowet,NHIF
P10001,28314695,M,1952-09-03,Kericho,Kericho West,Private
P10002,36570404,F,1969-10-11,Kericho,Kipkelion,Cash
P10003,22833826,F,1963-12-13,Kericho,Bureti,NHIF
P10004,17751695,M,2015-06-20,Kericho,Kipkelion,NHIF
P10005,24268916,M,2013-03-18,Kericho,Kericho East,Private
P10006,25509840,F,1990-09-05,Kericho,Bureti,Private
P10007,11484921,M,1964-08-29,Kericho,Belgut,Cash
P10008,3753933,M,1952-11-17,Kericho,Bureti,Company
P10009,14269126,F,1985-06-30,Bomet,Soin Sigowet,Company
P10010,36170154,F,2017-01-07,Kericho,Belgut,CBHI
P10011,33119288,M,2017-10-21,Kericho,Kericho East,Private
P10012,4263273,F,1984-03-27,Kericho,Belgut,CBHI
P10013,36035469,F,2018-12-15,Kericho,Bureti,NHIF
P10014,17675740,M,1995-07-19,Bomet,Kericho East,Cash
P10015,25092934,M,1998-05-23,Nakuru,Kipkelion,NHIF
P10016,24359227,F,1971-06-26,Kericho,Kericho West,CBHI
P10017,35749306,M,1961-07-09,Kericho,Belgut,CBHI
P10018,14213537,M,2013-12-17,Kericho,Belgut,Cash
P10019,15079184,M,1980-05-01,Kericho,Kipkelion,CBHI
P10020,3950952,M,1956-01-18,Bomet,Kericho East,Cash
P10021,14377189,M,2014-11-23,Bomet,Kipkelion,CBHI
P10022,12778194,M,1958-09-12,Kericho,Belgut,Cash
P10023,4067648,F,2015-05-02,Kericho,Kericho East,Private
P10024,28311998,M,1974-12-28,Kericho,Kericho West,NHIF
P10025,3394926,M,1958-05-15,Bomet,Kericho West,Private
P10026,3934956,M,1984-01-01,Kericho,Belgut,Cash
P10027,10388240,M,1976-08-14,Kericho,Kericho East,CBHI
P10028,3364996,F,1995-02-11,Bomet,Kipkelion,Private
P10029,39932131,M,2010-07-30,Kericho,Kericho West,Company
P10030,2667018,M,1987-08-12,Kericho,Kipkelion,CBHI
P10031,16017944,F,1985-07-05,Kericho,Soin Sigowet,Cash
P10032,30755021,M,1956-07-28,Kericho,Kericho West,CBHI
P10033,24798544,F,1964-02-26,Kericho,Kipkelion,Cash
P10034,37218730,F,2009-07-07,Kericho,Kericho West,Cash
