patient_id,national_id,name,sex,date_of_birth,county,sub_county,insurance_type,contact
P10000,18456906,Elizabeth Kipchoge,M,1970-01-10,Kericho,Soin Sigowet,NHIF,0796-858658
P10001,28314695,James Atieno,M,1952-09-03,Kericho,Kericho West,Private,0774-716127
P10002,36570404,Esther Jepkosgei,F,1969-10-11,Kericho,Kipkelion,Cash,0710-877925
P10003,22833826,Sarah Mwangi,F,1963-12-13,Kericho,Bureti,NHIF,0721-489199
P10004,17751695,Ann Njoroge,M,2015-06-20,Kericho,Kipkelion,NHIF,0758-180665
P10005,24268916,Lucy Atieno,M,2013-03-18,Kericho,Kericho East,Private,0747-181975
P10006,25509840,Grace Chebet,F,1990-09-05,Kericho,Bureti,Private,0757-463314
P10007,11484921,William Chebet,M,1964-08-29,Kericho,Belgut,Cash,0791-804670
P10008,03753933,Grace Njoroge,M,1952-11-17,Kericho,Bureti,Company,0744-167316
P10009,14269126,Richard Njoroge,F,1985-06-30,Bomet,Soin Sigowet,Company,0728-371242
P10010,36170154,Grace Omondi,F,2017-01-07,Kericho,Belgut,CBHI,0761-470324
P10011,33119288,Robert Omondi,M,2017-10-21,Kericho,Kericho East,Private,0790-263911
P10012,04263273,Jane Atieno,F,1984-03-27,Kericho,Belgut,CBHI,0742-666981
P10013,36035469,John Chebet,F,2018-12-15,Kericho,Bureti,NHIF,0747-545261
P10014,17675740,Charles Kipchoge,M,1995-07-19,Bomet,Kericho East,Cash,0791-619723
P10015,25092934,Michael Korir,M,1998-05-23,Nakuru,Kipkelion,NHIF,0786-431600
P10016,24359227,John Chebet,F,1971-06-26,Kericho,Kericho West,CBHI,0720-187849
P10017,35749306,Ruth Chebet,M,1961-07-09,Kericho,Belgut,CBHI,0731-371640
P10018,14213537,Mercy Mwangi,M,2013-12-17,Kericho,Belgut,Cash,0766-629562
P10019,15079184,Elizabeth Jepkosgei,M,1980-05-01,Kericho,Kipkelion,CBHI,0739-702325
P10020,03950952,John Chebet,M,1956-01-18,Bomet,Kericho East,Cash,0719-626343
P10021,14377189,William Nyong'o,M,2014-11-23,Bomet,Kipkelion,CBHI,0770-348903
P10022,12778194,Ruth Mwangi,M,1958-09-12,Kericho,Belgut,Cash,0764-520578
P10023,04067648,Mary Chebet,F,2015-05-02,Kericho,Kericho East,Private,0734-294649
P10024,28311998,Charles Korir,M,1974-12-28,Kericho,Kericho West,NHIF,0766-927982
P10025,03394926,Esther Chebet,M,1958-05-15,Bomet,Kericho West,Private,0762-597592
P10026,03934956,Michael Mwangi,M,1984-01-01,Kericho,Belgut,Cash,0768-392533
P10027,10388240,Esther Nyong'o,M,1976-08-14,Kericho,Kericho East,CBHI,0779-162865
P10028,03364996,David Kipchoge,F,1995-02-11,Bomet,Kipkelion,Private,0717-620182
P10029,39932131,Sarah Chebet,M,2010-07-30,Kericho,Kericho West,Company,0725-683352
P10030,02667018,Richard Atieno,M,1987-08-12,Kericho,Kipkelion,CBHI,0776-423367
P10031,16017944,Michael Njoroge,F,1985-07-05,Kericho,Soin Sigowet,Cash,0768-423869
P10032,30755021,James Kipchoge,M,1956-07-28,Kericho,Kericho West,CBHI,0743-235457
P10033,24798544,James Jepkosgei,F,1964-02-26,Kericho,Kipkelion,Cash,0788-926769
P10034,37218730,Thomas Kipchoge,F,2009-07-07,Kericho,Kericho West,Cash,0724-209860
P10035,18276980,Esther Korir,F,2004-04-06,Kericho,Soin Sigowet,Cash,0736-803749
P10036,32784818,William Omondi,F,1954-07-23,Kericho,Soin Sigowet,Company,0745-145103
P10037,17579521,David Korir,M,2016-07-01,Kericho,Kipkelion,Company,0781-109214
P10038,36613945,James Korir,M,1983-02-15,Kericho,Kipkelion,Private,0765-230142
P10039,02677300,Lucy Njoroge,F,1968-11-05,Kericho,Kericho West,NHIF,0755-898673
P10040,10371899,Jane Atieno,M,1964-07-30,Nakuru,Kericho West,Company,0713-283854
P10041,16654222,David Mwangi,F,1964-04-13,Kericho,Soin Sigowet,NHIF,0758-993139
P10042,13393106,Ruth Jepkosgei,F,1981-05-15,Kericho,Kericho West,Private,0713-775297
P10043,18696735,Joseph Njoroge,M,2019-05-19,Kericho,Bureti,CBHI,0761-795963
P10044,01852241,Esther Njoroge,M,1973-06-08,Kericho,Kipkelion,Cash,0714-211710
P10045,21050529,Jane Njoroge,F,2004-05-21,Kericho,Kericho East,Company,0783-294360
P10046,00113500,Mary Mwangi,M,1982-09-04,Kericho,Kericho East,Cash,0789-421779
P10047,34032416,Elizabeth Kiptoo,F,2009-10-30,Kericho,Bureti,Company,0799-402667
P10048,28215676,Robert Jepkosgei,F,2010-10-07,Kericho,Kericho West,CBHI,0782-408515
P10049,20392703,Esther Kipchoge,F,1968-11-09,Kericho,Kipkelion,CBHI,0793-429576
P10050,14341259,Charles Nyong'o,F,2016-01-10,Kericho,Soin Sigowet,NHIF,0746-627779
P10051,06267109,Mercy Njoroge,M,2010-05-12,Kericho,Kericho West,Private,0728-125147
P10052,04887420,Grace Nyong'o,F,1987-03-08,Bomet,Soin Sigowet,CBHI,0734-835813
P10053,26820250,Joseph Nyong'o,M,1963-03-29,Kericho,Soin Sigowet,NHIF,0723-897535
P10054,34759557,Grace Korir,F,1954-07-04,Kericho,Kericho West,NHIF,0768-236920
P10055,37508842,Charles Omondi,F,2017-10-04,Bomet,Belgut,CBHI,0774-536950
P10056,10680907,Esther Nyong'o,F,1990-05-18,Kericho,Kericho West,Cash,0776-596741
P10057,29519351,Grace Kiptoo,M,2014-01-06,Kericho,Kericho West,Cash,0752-427653
P10058,10122075,James Korir,M,1984-05-13,Kericho,Kericho West,Private,0718-524517
P10059,31267651,David Omondi,F,1955-08-03,Kericho,Belgut,Company,0784-812120
P10060,32009569,Richard Mwangi,M,1981-07-23,Kericho,Belgut,Company,0778-865852
P10061,14800102,Esther Atieno,F,1969-09-08,Kericho,Belgut,Company,0713-498444
P10062,31366022,Joseph Korir,M,2005-10-29,Kericho,Kericho East,Company,0785-677778
P10063,28763717,John Chebet,M,1991-06-03,Kericho,Kericho East,Cash,0758-435316
P10064,22649279,Charles Njoroge,F,1974-12-18,Kericho,Belgut,Cash,0720-581119
P10065,23485442,Esther Kipchoge,M,2008-04-29,Kericho,Soin Sigowet,NHIF,0713-353304
P10066,10226207,John Atieno,M,1961-04-29,Kericho,Soin Sigowet,NHIF,0782-323576
P10067,11260139,William Njoroge,M,2019-10-12,Kericho,Kericho West,Cash,0723-692126
P10068,25186424,Lucy Atieno,F,2014-02-23,Kericho,Kericho East,CBHI,0798-950742
P10069,20238872,Grace Chebet,M,2000-10-09,Kericho,Kericho East,Cash,0778-538777
P10070,33954454,Ann Chebet,F,1951-02-19,Kericho,Belgut,Company,0723-543470
P10071,29225048,Charles Korir,M,2015-11-01,Kericho,Soin Sigowet,Cash,0788-927651
P10072,29230910,Ruth Nyong'o,F,1978-12-01,Kericho,Kericho West,NHIF,0745-561349
P10073,25433542,Charles Atieno,F,1952-07-29,Kericho,Bureti,Private,0772-317463
